"term","frequency","density","occurrence"
"absorbed",1,0.000557413600891862,0.002
"academic",1,0.000557413600891862,0.002
"according",1,0.000557413600891862,0.002
"across",1,0.000557413600891862,0.002
"actually",4,0.00222965440356745,0.008
"adam",12,0.00668896321070234,0.024
"adamson",3,0.00167224080267559,0.006
"adding",1,0.000557413600891862,0.002
"address",1,0.000557413600891862,0.002
"adsl",1,0.000557413600891862,0.002
"advertised",1,0.000557413600891862,0.002
"afternoon",1,0.000557413600891862,0.002
"again",3,0.00167224080267559,0.006
"age",1,0.000557413600891862,0.002
"agree",2,0.00111482720178372,0.004
"alan",1,0.000557413600891862,0.002
"alike",1,0.000557413600891862,0.002
"all",12,0.00668896321070234,0.024
"alsa",2,0.00111482720178372,0.004
"alternative",1,0.000557413600891862,0.002
"always",2,0.00111482720178372,0.004
"amazes",1,0.000557413600891862,0.002
"amazingly",1,0.000557413600891862,0.002
"amounts",1,0.000557413600891862,0.002
"ananova ",4,0.00222965440356745,0.008
"and",3,0.00167224080267559,0.006
"andor",1,0.000557413600891862,0.002
"andrew",1,0.000557413600891862,0.002
"angles",1,0.000557413600891862,0.002
"annoyed",1,0.000557413600891862,0.002
"anyone",5,0.00278706800445931,0.01
"apols",2,0.00111482720178372,0.004
"apparent",2,0.00111482720178372,0.004
"appear",1,0.000557413600891862,0.002
"approach",1,0.000557413600891862,0.002
"approx",1,0.000557413600891862,0.002
"aptget",1,0.000557413600891862,0.002
"architecture",1,0.000557413600891862,0.002
"around",1,0.000557413600891862,0.002
"article",3,0.00167224080267559,0.006
"articles",5,0.00278706800445931,0.01
"ask",1,0.000557413600891862,0.002
"asked",2,0.00111482720178372,0.004
"astrophysics",1,0.000557413600891862,0.002
"async",1,0.000557413600891862,0.002
"aug",30,0.0167224080267559,0.06
"august",3,0.00167224080267559,0.006
"automated",1,0.000557413600891862,0.002
"back",1,0.000557413600891862,0.002
"banned",1,0.000557413600891862,0.002
"barbara",1,0.000557413600891862,0.002
"barrera",5,0.00278706800445931,0.01
"barry",1,0.000557413600891862,0.002
"based",1,0.000557413600891862,0.002
"basing",1,0.000557413600891862,0.002
"bbc",1,0.000557413600891862,0.002
"beberg",13,0.0072463768115942,0.026
"bebergmithralcom",1,0.000557413600891862,0.002
"become",1,0.000557413600891862,0.002
"before",2,0.00111482720178372,0.004
"beg",1,0.000557413600891862,0.002
"begin",4,0.00222965440356745,0.008
"beginning",1,0.000557413600891862,0.002
"behalf",1,0.000557413600891862,0.002
"believe",1,0.000557413600891862,0.002
"bell",1,0.000557413600891862,0.002
"benjamin",1,0.000557413600891862,0.002
"benoit",1,0.000557413600891862,0.002
"bet",1,0.000557413600891862,0.002
"better",1,0.000557413600891862,0.002
"beyond",1,0.000557413600891862,0.002
"bfar",7,0.00390189520624303,0.014
"big",1,0.000557413600891862,0.002
"bill",4,0.00222965440356745,0.008
"billion",1,0.000557413600891862,0.002
"bin",1,0.000557413600891862,0.002
"bitbitchmagnesiumnet",4,0.00222965440356745,0.008
"black",1,0.000557413600891862,0.002
"blatantly",1,0.000557413600891862,0.002
"bloke",1,0.000557413600891862,0.002
"blowjob",1,0.000557413600891862,0.002
"bolcer",1,0.000557413600891862,0.002
"bore",1,0.000557413600891862,0.002
"born",1,0.000557413600891862,0.002
"borrow",1,0.000557413600891862,0.002
"bottom",3,0.00167224080267559,0.006
"brady",2,0.00111482720178372,0.004
"breathnach",1,0.000557413600891862,0.002
"breatproexchangeiemlcom",1,0.000557413600891862,0.002
