"term","frequency","density","occurrence"
"bvhtb",3,0.00164925783397471,0.006
"‚à‚à‚‚í‚‚‚ä‚ô‚ç‚‚‚ä‚ê‚é",4,0.00219901044529962,0.008
"able",2,0.00109950522264981,0.004
"accepted",4,0.00219901044529962,0.008
"access",3,0.00164925783397471,0.006
"accessories",1,0.000549752611324904,0.002
"accident",1,0.000549752611324904,0.002
"account",2,0.00109950522264981,0.004
"action",4,0.00219901044529962,0.008
"actuallyreverses",1,0.000549752611324904,0.002
"added",1,0.000549752611324904,0.002
"address",3,0.00164925783397471,0.004
"administration",1,0.000549752611324904,0.002
"advertising",1,0.000549752611324904,0.002
"affidavits",1,0.000549752611324904,0.002
"affordable",1,0.000549752611324904,0.002
"again",1,0.000549752611324904,0.002
"aging",1,0.000549752611324904,0.002
"aligncenter",3,0.00164925783397471,0.006
"aligncenterfont",1,0.000549752611324904,0.002
"almost",1,0.000549752611324904,0.002
"amazing",1,0.000549752611324904,0.002
"americas",2,0.00109950522264981,0.004
"answer",1,0.000549752611324904,0.002
"anything",2,0.00109950522264981,0.004
"applies",1,0.000549752611324904,0.002
"arial",1,0.000549752611324904,0.002
"around",2,0.00109950522264981,0.004
"assistance",2,0.00109950522264981,0.004
"associate",1,0.000549752611324904,0.002
"attempts",1,0.000549752611324904,0.002
"attention",1,0.000549752611324904,0.002
"attn",2,0.00109950522264981,0.004
"attnsirmadan",1,0.000549752611324904,0.002
"attorney",2,0.00109950522264981,0.002
"äúã",1,0.000549752611324904,0.002
"authority",1,0.000549752611324904,0.002
"automobile",1,0.000549752611324904,0.002
"available",6,0.00329851566794942,0.012
"aviation",1,0.000549752611324904,0.002
"aviationmr",1,0.000549752611324904,0.002
"awarded",2,0.00109950522264981,0.004
"away",3,0.00164925783397471,0.004
"backtitle",1,0.000549752611324904,0.002
"bad",1,0.000549752611324904,0.002
"bakar",1,0.000549752611324904,0.002
"bank",5,0.00274876305662452,0.004
"bankthis",1,0.000549752611324904,0.002
"barry",3,0.00164925783397471,0.002
"basic",1,0.000549752611324904,0.002
"began",1,0.000549752611324904,0.002
"below",1,0.000549752611324904,0.002
"bgcoloraaacentera",1,0.000549752611324904,0.002
"bgcolordblack",1,0.000549752611324904,0.002
"bgcolorff",1,0.000549752611324904,0.002
"bgcolorffccff",1,0.000549752611324904,0.002
"bgcolorffffff",1,0.000549752611324904,0.002
"big",1,0.000549752611324904,0.002
"bigtitle",1,0.000549752611324904,0.002
"bij",1,0.000549752611324904,0.002
"biz",1,0.000549752611324904,0.002
"blocked",1,0.000549752611324904,0.002
"body",1,0.000549752611324904,0.002
"bonus",2,0.00109950522264981,0.004
"border",4,0.00219901044529962,0.004
"borderatdtda",1,0.000549752611324904,0.002
"borderatdtrtrtda",1,0.000549752611324904,0.002
"bordercolordarkcc",1,0.000549752611324904,0.002
"bordercolorffccff",1,0.000549752611324904,0.002
